,state_code,quarter,policy,score
1671,MD,Q1,inmate_visitation_suspended,13
1672,ME,Q2,inmate_visitation_suspended,13
1673,ME,Q3,inmate_visitation_suspended,4
1674,ME,Q4,inmate_visitation_suspended,4
1675,ME,Q1,inmate_visitation_suspended,11
1676,MI,Q2,inmate_visitation_suspended,13
1677,MI,Q3,inmate_visitation_suspended,13
1678,MI,Q4,inmate_visitation_suspended,13
1679,MI,Q1,inmate_visitation_suspended,12
1680,MN,Q2,inmate_visitation_suspended,13
1681,MN,Q3,inmate_visitation_suspended,3
1684,MO,Q2,inmate_visitation_suspended,13
1685,MO,Q3,inmate_visitation_suspended,13
1686,MO,Q4,inmate_visitation_suspended,13
1687,MO,Q1,inmate_visitation_suspended,2
1688,MS,Q2,inmate_visitation_suspended,13
1689,MS,Q3,inmate_visitation_suspended,13
1690,MS,Q4,inmate_visitation_suspended,13
1691,MS,Q1,inmate_visitation_suspended,2
1692,MT,Q2,inmate_visitation_suspended,13
1693,MT,Q3,inmate_visitation_suspended,13
1694,MT,Q4,inmate_visitation_suspended,13
1695,MT,Q1,inmate_visitation_suspended,2
1696,NC,Q2,inmate_visitation_suspended,11
1700,ND,Q2,inmate_visitation_suspended,13
1701,ND,Q3,inmate_visitation_suspended,8
1704,NE,Q2,inmate_visitation_suspended,13
1705,NE,Q3,inmate_visitation_suspended,10
1706,NE,Q4,inmate_visitation_suspended,13
1707,NE,Q1,inmate_visitation_suspended,2
1708,NH,Q2,inmate_visitation_suspended,13
1709,NH,Q3,inmate_visitation_suspended,10
1712,NJ,Q2,inmate_visitation_suspended,13
1713,NJ,Q3,inmate_visitation_suspended,13
1714,NJ,Q4,inmate_visitation_suspended,4
1715,NJ,Q1,inmate_visitation_suspended,13
1716,NM,Q2,inmate_visitation_suspended,13
1717,NM,Q3,inmate_visitation_suspended,13
1718,NM,Q4,inmate_visitation_suspended,13
1719,NM,Q1,inmate_visitation_suspended,13
1720,NV,Q2,inmate_visitation_suspended,13
1721,NV,Q3,inmate_visitation_suspended,13
1722,NV,Q4,inmate_visitation_suspended,13
1723,NV,Q1,inmate_visitation_suspended,13
1724,NY,Q2,inmate_visitation_suspended,13
1725,NY,Q3,inmate_visitation_suspended,8
1728,OH,Q2,inmate_visitation_suspended,13
1729,OH,Q3,inmate_visitation_suspended,7
1732,OK,Q2,inmate_visitation_suspended,8
1734,OK,Q4,inmate_visitation_suspended,13
1735,OK,Q1,inmate_visitation_suspended,13
1736,OR,Q2,inmate_visitation_suspended,13
1737,OR,Q3,inmate_visitation_suspended,13
1738,OR,Q4,inmate_visitation_suspended,13
1739,OR,Q1,inmate_visitation_suspended,13
1740,PA,Q2,inmate_visitation_suspended,13
1741,PA,Q3,inmate_visitation_suspended,13
1742,PA,Q4,inmate_visitation_suspended,13
1744,RI,Q2,inmate_visitation_suspended,13
1745,RI,Q3,inmate_visitation_suspended,6
1748,SC,Q2,inmate_visitation_suspended,13
1749,SC,Q3,inmate_visitation_suspended,13
1750,SC,Q4,inmate_visitation_suspended,10
1752,SD,Q2,inmate_visitation_suspended,13
1753,SD,Q3,inmate_visitation_suspended,13
1754,SD,Q4,inmate_visitation_suspended,10
1756,TN,Q2,inmate_visitation_suspended,13
1757,TN,Q3,inmate_visitation_suspended,13
1758,TN,Q4,inmate_visitation_suspended,10
1759,TX,Q2,inmate_visitation_suspended,13
1760,TX,Q3,inmate_visitation_suspended,13
1761,TX,Q4,inmate_visitation_suspended,8
1763,UT,Q2,inmate_visitation_suspended,13
1764,UT,Q3,inmate_visitation_suspended,13
1765,UT,Q4,inmate_visitation_suspended,13
1767,VA,Q2,inmate_visitation_suspended,13
1768,VA,Q3,inmate_visitation_suspended,13
1769,VA,Q4,inmate_visitation_suspended,12
1771,VT,Q2,inmate_visitation_suspended,13
1772,VT,Q3,inmate_visitation_suspended,13
1773,VT,Q4,inmate_visitation_suspended,12
1775,WA,Q2,inmate_visitation_suspended,13
1776,WA,Q3,inmate_visitation_suspended,13
1777,WA,Q4,inmate_visitation_suspended,11
1779,WI,Q2,inmate_visitation_suspended,13
1780,WI,Q3,inmate_visitation_suspended,13
1781,WI,Q4,inmate_visitation_suspended,13
1782,WI,Q1,inmate_visitation_suspended,13
1783,WV,Q2,inmate_visitation_suspended,13
1784,WV,Q3,inmate_visitation_suspended,13
1785,WV,Q4,inmate_visitation_suspended,13
1786,WV,Q1,inmate_visitation_suspended,13
1787,WY,Q2,inmate_visitation_suspended,13
1788,WY,Q3,inmate_visitation_suspended,13
1789,WY,Q4,inmate_visitation_suspended,13
1790,WY,Q1,inmate_visitation_suspended,13
1808,CA,Q3,staff_testing,13
1809,CA,Q4,staff_testing,13
1810,CA,Q1,staff_testing,13
1812,CO,Q3,staff_testing,8
1815,CT,Q2,staff_testing,6
1821,DE,Q4,staff_testing,4
1822,DE,Q1,staff_testing,13
1840,ID,Q3,staff_testing,12
1841,ID,Q4,staff_testing,13
1842,ID,Q1,staff_testing,13
1845,IL,Q4,staff_testing,4
1846,IL,Q1,staff_testing,13
1851,KS,Q2,staff_testing,9
1852,KS,Q3,staff_testing,4
1865,MA,Q4,staff_testing,2
1867,MD,Q2,staff_testing,4
1868,MD,Q3,staff_testing,13
1869,MD,Q4,staff_testing,13
1870,MD,Q1,staff_testing,13
1879,MN,Q2,staff_testing,4
1880,MN,Q3,staff_testing,13
1881,MN,Q4,staff_testing,13
1882,MN,Q1,staff_testing,13
1883,MO,Q2,staff_testing,5
1884,MO,Q3,staff_testing,13
1885,MO,Q4,staff_testing,13
1886,MO,Q1,staff_testing,2
1891,MT,Q2,staff_testing,5
1892,MT,Q3,staff_testing,13
1893,MT,Q4,staff_testing,13
1894,MT,Q1,staff_testing,2
1911,NJ,Q2,staff_testing,9
1912,NJ,Q3,staff_testing,13
1913,NJ,Q4,staff_testing,13
1914,NJ,Q1,staff_testing,13
1915,NM,Q2,staff_testing,8
1916,NM,Q3,staff_testing,13
1917,NM,Q4,staff_testing,13
1918,NM,Q1,staff_testing,13
1919,NV,Q2,staff_testing,5
1920,NV,Q3,staff_testing,13
1921,NV,Q4,staff_testing,13
1922,NV,Q1,staff_testing,13
1927,OH,Q2,staff_testing,10
1928,OH,Q3,staff_testing,13
1929,OH,Q4,staff_testing,4
1955,TN,Q2,staff_testing,8
1956,TN,Q3,staff_testing,13
1957,TN,Q4,staff_testing,10
1966,VA,Q2,staff_testing,10
1967,VA,Q3,staff_testing,13
1968,VA,Q4,staff_testing,12
1970,VT,Q2,staff_testing,1
1974,WA,Q2,staff_testing,1
1975,WA,Q3,staff_testing,13
1976,WA,Q4,staff_testing,11
1978,WI,Q2,staff_testing,6
1982,WV,Q2,staff_testing,6
1983,WV,Q3,staff_testing,13
1984,WV,Q4,staff_testing,13
1985,WV,Q1,staff_testing,13
1987,WY,Q3,staff_testing,9
1988,WY,Q4,staff_testing,13
1989,WY,Q1,staff_testing,13
1991,AK,Q3,staff_masking,10
1992,AK,Q4,staff_masking,13
1993,AK,Q1,staff_masking,13
1994,AL,Q2,staff_masking,9
1995,AL,Q3,staff_masking,13
1996,AL,Q4,staff_masking,13
1997,AL,Q1,staff_masking,13
1998,AR,Q2,staff_masking,11
1999,AR,Q3,staff_masking,13
2000,AR,Q4,staff_masking,13
2001,AR,Q1,staff_masking,13
2002,AZ,Q2,staff_masking,2
2003,AZ,Q3,staff_masking,13
2004,AZ,Q4,staff_masking,13
2005,AZ,Q1,staff_masking,13
2006,CA,Q2,staff_masking,12
2007,CA,Q3,staff_masking,13
2008,CA,Q4,staff_masking,13
2009,CA,Q1,staff_masking,13
2010,CO,Q2,staff_masking,11
2011,CO,Q3,staff_masking,10
2012,CO,Q4,staff_masking,13
2013,CO,Q1,staff_masking,13
2014,CT,Q2,staff_masking,10
2015,CT,Q3,staff_masking,8
2018,DE,Q2,staff_masking,12
2019,DE,Q3,staff_masking,13
2020,DE,Q4,staff_masking,13
2021,DE,Q1,staff_masking,13
2022,FL,Q2,staff_masking,9
2023,FL,Q3,staff_masking,13
2024,FL,Q4,staff_masking,13
2025,FL,Q1,staff_masking,13
2030,HI,Q2,staff_masking,9
2031,HI,Q3,staff_masking,13
2032,HI,Q4,staff_masking,13
2033,HI,Q1,staff_masking,13
2034,IA,Q2,staff_masking,12
2035,IA,Q3,staff_masking,13
2036,IA,Q4,staff_masking,13
2037,IA,Q1,staff_masking,13
2038,ID,Q2,staff_masking,1
2039,ID,Q3,staff_masking,13
2040,ID,Q4,staff_masking,13
2041,ID,Q1,staff_masking,13
2042,IL,Q2,staff_masking,13
2043,IL,Q3,staff_masking,13
2044,IL,Q4,staff_masking,13
2045,IL,Q1,staff_masking,13
2046,IN,Q2,staff_masking,13
2047,IN,Q3,staff_masking,13
2048,IN,Q4,staff_masking,13
2049,IN,Q1,staff_masking,13
2051,KS,Q3,staff_masking,13
2052,KS,Q4,staff_masking,13
2053,KS,Q1,staff_masking,13
2054,KY,Q2,staff_masking,13
2055,KY,Q3,staff_masking,13
2056,KY,Q4,staff_masking,13
2057,KY,Q1,staff_masking,13
2062,MA,Q2,staff_masking,13
2063,MA,Q3,staff_masking,13
2064,MA,Q4,staff_masking,13
2065,MA,Q1,staff_masking,13
2066,MD,Q2,staff_masking,9
2067,MD,Q3,staff_masking,13
2068,MD,Q4,staff_masking,13
2069,MD,Q1,staff_masking,13
2072,ME,Q4,staff_masking,13
2073,ME,Q1,staff_masking,13
2074,MI,Q2,staff_masking,13
2075,MI,Q3,staff_masking,13
2076,MI,Q4,staff_masking,13
2077,MI,Q1,staff_masking,13
2078,MN,Q2,staff_masking,13
2079,MN,Q3,staff_masking,13
2080,MN,Q4,staff_masking,13
2081,MN,Q1,staff_masking,13
2083,MO,Q3,staff_masking,7
2084,MO,Q4,staff_masking,13
2085,MO,Q1,staff_masking,2
2086,MS,Q2,staff_masking,11
2087,MS,Q3,staff_masking,13
2088,MS,Q4,staff_masking,13
2089,MS,Q1,staff_masking,2
2090,MT,Q2,staff_masking,3
2091,MT,Q3,staff_masking,13
2092,MT,Q4,staff_masking,13
2093,MT,Q1,staff_masking,2
2102,NE,Q2,staff_masking,13
2103,NE,Q3,staff_masking,13
2104,NE,Q4,staff_masking,13
2105,NE,Q1,staff_masking,2
2106,NH,Q2,staff_masking,4
2107,NH,Q3,staff_masking,13
2108,NH,Q4,staff_masking,13
2109,NH,Q1,staff_masking,13
2110,NJ,Q2,staff_masking,6
2111,NJ,Q3,staff_masking,13
2112,NJ,Q4,staff_masking,13
2113,NJ,Q1,staff_masking,13
2114,NM,Q2,staff_masking,9
2115,NM,Q3,staff_masking,13
2116,NM,Q4,staff_masking,13
2117,NM,Q1,staff_masking,13
2118,NV,Q2,staff_masking,10
2119,NV,Q3,staff_masking,13
2120,NV,Q4,staff_masking,13
2121,NV,Q1,staff_masking,13
2122,NY,Q2,staff_masking,5
2123,NY,Q3,staff_masking,13
2124,NY,Q4,staff_masking,13
2127,OH,Q3,staff_masking,12
2128,OH,Q4,staff_masking,4
2131,OK,Q3,staff_masking,3
2132,OK,Q4,staff_masking,13
2133,OK,Q1,staff_masking,13
2134,OR,Q2,staff_masking,8
2135,OR,Q3,staff_masking,6
2142,RI,Q2,staff_masking,10
2150,SD,Q2,staff_masking,12
2151,SD,Q3,staff_masking,13
2152,SD,Q4,staff_masking,10
2157,TX,Q2,staff_masking,12
2158,TX,Q3,staff_masking,13
2159,TX,Q4,staff_masking,8
2162,UT,Q3,staff_masking,13
2163,UT,Q4,staff_masking,13
2165,VA,Q2,staff_masking,13
2166,VA,Q3,staff_masking,13
2167,VA,Q4,staff_masking,12
2169,VT,Q2,staff_masking,12
2170,VT,Q3,staff_masking,13
2171,VT,Q4,staff_masking,12
2177,WI,Q2,staff_masking,4
2178,WI,Q3,staff_masking,13
2179,WI,Q4,staff_masking,13
2180,WI,Q1,staff_masking,13
2181,WV,Q2,staff_masking,6
2182,WV,Q3,staff_masking,13
2183,WV,Q4,staff_masking,13
2184,WV,Q1,staff_masking,13
2185,WY,Q2,staff_masking,11
2186,WY,Q3,staff_masking,13
2187,WY,Q4,staff_masking,13
2188,WY,Q1,staff_masking,13
2193,AL,Q2,staff_quarantine,13
2194,AL,Q3,staff_quarantine,13
2195,AL,Q4,staff_quarantine,13
2196,AL,Q1,staff_quarantine,13
2205,CA,Q2,staff_quarantine,13
2206,CA,Q3,staff_quarantine,13
2207,CA,Q4,staff_quarantine,13
2208,CA,Q1,staff_quarantine,13
2217,DE,Q2,staff_quarantine,13
2218,DE,Q3,staff_quarantine,1
2221,FL,Q2,staff_quarantine,12
2222,FL,Q3,staff_quarantine,13
2223,FL,Q4,staff_quarantine,13
2224,FL,Q1,staff_quarantine,13
2225,GA,Q2,staff_quarantine,13
2226,GA,Q3,staff_quarantine,13
2227,GA,Q4,staff_quarantine,13
2228,GA,Q1,staff_quarantine,13
2229,HI,Q2,staff_quarantine,9
2230,HI,Q3,staff_quarantine,13
2231,HI,Q4,staff_quarantine,13
2232,HI,Q1,staff_quarantine,13
2233,IA,Q2,staff_quarantine,11
2234,IA,Q3,staff_quarantine,13
2235,IA,Q4,staff_quarantine,13
2236,IA,Q1,staff_quarantine,13
2237,ID,Q2,staff_quarantine,1
2238,ID,Q3,staff_quarantine,13
2239,ID,Q4,staff_quarantine,13
2240,ID,Q1,staff_quarantine,13
2241,IL,Q2,staff_quarantine,8
2242,IL,Q3,staff_quarantine,13
2243,IL,Q4,staff_quarantine,13
2244,IL,Q1,staff_quarantine,13
2265,MD,Q2,staff_quarantine,4
2266,MD,Q3,staff_quarantine,13
2267,MD,Q4,staff_quarantine,13
2268,MD,Q1,staff_quarantine,13
2281,MO,Q2,staff_quarantine,13
2282,MO,Q3,staff_quarantine,13
2283,MO,Q4,staff_quarantine,13
2284,MO,Q1,staff_quarantine,2
2301,NE,Q2,staff_quarantine,9
2302,NE,Q3,staff_quarantine,13
2303,NE,Q4,staff_quarantine,13
2304,NE,Q1,staff_quarantine,2
2309,NJ,Q2,staff_quarantine,6
2310,NJ,Q3,staff_quarantine,13
2311,NJ,Q4,staff_quarantine,13
2312,NJ,Q1,staff_quarantine,13
2313,NM,Q2,staff_quarantine,10
2314,NM,Q3,staff_quarantine,13
2315,NM,Q4,staff_quarantine,13
2316,NM,Q1,staff_quarantine,13
2333,OR,Q2,staff_quarantine,8
2334,OR,Q3,staff_quarantine,6
2353,TN,Q2,staff_quarantine,13
2354,TN,Q3,staff_quarantine,13
2355,TN,Q4,staff_quarantine,10
2368,VT,Q2,staff_quarantine,12
2369,VT,Q3,staff_quarantine,13
2370,VT,Q4,staff_quarantine,12
2372,WA,Q2,staff_quarantine,5
2373,WA,Q3,staff_quarantine,13
2374,WA,Q4,staff_quarantine,11
2376,WI,Q2,staff_quarantine,13
2377,WI,Q3,staff_quarantine,13
2378,WI,Q4,staff_quarantine,13
2379,WI,Q1,staff_quarantine,13
